Shoshana Gatton	role:president	subordinates:Alejandrina Rosenbalm,Shanae Dailey,Elene Rosado,Racheal Rausch		
Alejandrina Rosenbalm	role:vice president	subordinates:Dominic Kitson,Tish Muldrew,Hortense Cuneo
Shanae Dailey	role:vice president	subordinates:Collen Gochenour,Edelmira Cutrer,Dominque Birk,Denver Mcgoldrick
Elene Rosado	role:vice president	subordinates:Whitney Vonruden,Valery Dorado
Racheal Rausch	role:vice president	subordinates:Valeri Well,Lorraine Corley,Hobert Quintanilla
Dominic Kitson	role:senior director	subordinates:Clementina Garwood,Simone Weber,Marilynn Schwalb
Tish Muldrew	role:senior director	subordinates:Mauricio Bonnie,Tyrell Petitt
Hortense Cuneo	role:senior director	subordinates:Tyrell Petitt,Arlinda Mcqueen,Erasmo Masek
Collen Gochenour	role:senior director	subordinates:Davina Benton
Edelmira Cutrer	role:senior director	subordinates:Davina Benton
Dominque Birk	role:senior director	subordinates:Donnie Pinckard
Denver Mcgoldrick	role:director director	subordinates:Monserrate Smedley,Broderick Forsman
Whitney Vonruden	role:senior director	subordinates:Broderick Forsman,Loria Bargas
Valery Dorado	role:senior director	subordinates:Lamonica Lewellyn,Roxie Sieben
Valeri Well	role:senior director	subordinates:Loria Bargas
Lorraine Corley	role:senior director	subordinates:Broderick Forsman
Hobert Quintanilla	role:director	subordinates:Brice Bello,Darla Polen,Barrie Pickard,Shaunda Rocca
Clementina Garwood	role:director	subordinates:Reagan Rappold,Yael Meals,Elsie Kohlmeier,Wynell Hedin,Jacqulyn Thill
Simone Weber	role:director	subordinates:Sherrell Newberry,Roxie Sieben,Gertha Linda
Marilynn Schwalb	role:director	subordinates:Oren Tawney,Lavera Gadd,Ela Mcfarlane,Doreen Blackwelder
Mauricio Bonnie	role:director	subordinates:Erasmo Masek,Rosana Smelcer
Tyrell Petitt	role:director	subordinates:Trang Lorenz,Vicente Gilder
Arlinda Mcqueen	role:director	subordinates:Pearl Dacruz,Doreen Blackwelder
Davina Benton	role:director	subordinates:Dillon Almquist,Brandie Steere,Rosana Smelcer
Donnie Pinckard	role:director	subordinates:Kizzie Boedeker,Lajuana Funchess
